SUPPLIERS AND EMPLOYEE WEIGHTING RATIO,,,,,,,,,,,,,,,,
,added value of suppliers (source: income statement),Splitted added value (source¿?),Country,PPP index (source¿?),Added value adjusted,Total,%,ITUC (average),Industry,nace,ecol. Impact (A3),,,social impact (A1),,
FRA France ,France,1.03844876263106000,-,Europe,2.0000000000000000,,,,FRA,,,,,,,
FRO Faroe Islands ,Faroe Islands,1.03314026740667000,est,Europe,2.5500000000000000,est,,,FRO,,,,,,,
"FSM Micronesia, Federated States of ","Micronesia, Fed. Sts.",1.30214362287214000,-,Oceania,4.0500000000000000,est,,,FSM,,,,,,,
GAB Gabon ,Gabon,1.97686928234173000,-,Africa,3.7900000000000000,est,,,GAB,,,,,,,
GBR United Kingdom ,United Kingdom,1.06114265254678000,-,Europe,3.0000000000000000,,,,GBR,,,,,,,
GEO Georgia ,Georgia,2.54264005531634000,-,Asia,3.0000000000000000,,,,GEO,,,,,,,
GHA Ghana ,Ghana,2.62673939905566000,-,Africa,3.0000000000000000,,,,GHA,,,,,,,
GIB Gibraltar ,Gibraltar,1.03314026740667000,est,Europe,2.5500000000000000,est,,,GIB,,,,,,,
GIN Guinea ,Guinea,2.79303235967263000,-,Africa,3.7900000000000000,est,,,GIN,,,,,,,
GMB Gambia ,"Gambia, The",3.32157916601544000,-,Africa,3.7900000000000000,est,,,GMB,,,,,,,
GNB Guinea-Bissau ,Guinea-Bissau,2.89202095548155000,-,Africa,3.7900000000000000,est,,,GNB,,,,,,,
GNQ Equatorial Guinea ,Equatorial Guinea,2.21782929320958000,-,Africa,3.7900000000000000,est,,,GNQ,,,,,,,
GRC Greece ,Greece,1.25613579025947000,-,Europe,5.0000000000000000,,,,GRC,,,,,,,
GRD Grenada ,Grenada,1.71031010381376000,-,Americas,3.5200000000000000,est,,,GRD,,,,,,,
GRL Greenland ,Greenland,1.00304566871495000,est,Americas,3.5200000000000000,est,,,GRL,,,,,,,
GTM Guatemala ,Guatemala,2.67799402023614000,-,Americas,5.0000000000000000,,,,GTM,,,,,,,
GUM Guam ,Guam,1.49858687129258000,est,Oceania,4.0500000000000000,est,,,GUM,,,,,,,
GUY Guyana ,Guyana,2.16439069544639000,-,Americas,3.5200000000000000,est,,,GUY,,,,,,,
HKG Hong Kong ,"Hong Kong SAR, China",1.66564182487958000,-,Asia,5.0000000000000000,,,,HKG,,,,,,,
HND Honduras ,Honduras,2.31546294959604000,-,Americas,5.0000000000000000,,,,HND,,,,,,,
HRV Croatia ,Croatia,1.73571229237781000,-,Europe,2.0000000000000000,,,,HRV,,,,,,,
HTI Haiti ,Haiti,2.55597150548489000,-,Americas,4.0000000000000000,est,,,HTI,,,,,,,
HUN Hungary ,Hungary,1.86827096640336000,-,Europe,3.0000000000000000,,,,HUN,,,,,,,
IDN Indonesia ,Indonesia,3.05266744232118000,-,Asia,5.0000000000000000,,,,IDN,,,,,,,
IMN Isle of Man ,Isle of Man,3.15826638831551000,-,Europe,2.5500000000000000,est,,,IMN,,,,,,,
IND India ,India,3.69520129739433000,-,Asia,5.0000000000000000,,,,IND,,,,,,,
IRL Ireland ,Ireland,1.08223882097464000,-,Europe,1.0000000000000000,,,,IRL,,,,,,,
"IRN Iran, Islamic Republic of ","Iran, Islamic Rep.",3.73351533702455000,2017,Asia,5.0000000000000000,,,,IRN,,,,,,,
