Purchasing Power Parity Tables
Data Source,Worldbank Data
Last Updated Date,2_2018,,,http://data.worldbank.org/indicator/NY.GDP.MKTP.PP.CD,,, 

Country Code,Country Name,PPP Factor,,Region,ITUC,,,,code
SLB Solomon Islands ,Solomon Islands,1.2437936553501536,-,Oceania,3,est,,,SLB
SLE Sierra Leone ,Sierra Leone,3.5180741592103839,-,Africa,3.7083333333333335,est,,,SLE
SLV El Salvador ,El Salvador,2.3250310954896238,-,Americas,4,,,,SLV
SMR San Marino ,San Marino,1.4164511818660801,-,Europe,2,est,,,SMR
SOM Somalia ,Somalia,3.0325616327831186,est,Africa,3.7083333333333335,est,,,SOM
SRB Serbia ,Serbia,2.879187934678324,-,Europe,2,,,,SRB
SSD South Sudan ,South Sudan,3.0325616327831186,est,Africa,3.7083333333333335,est,,,SSD
STP Sao Tome and Principe ,Sao Tome and Principe,3.0325616327831186,est,Africa,3.7083333333333335,est,,,STP
SUR Suriname ,Suriname,2.8687339203446278,-,Americas,3.4210526315789473,est,,,SUR
SVK Slovakia ,Slovak Republic,2.0553886123249323,-,Europe,1,,,,SVK
SVN Slovenia ,Slovenia,1.6619550241731358,-,Europe,1,,,,SVN
SWE Sweden ,Sweden,1.0572364232401117,-,Europe,1,,,,SWE
SWZ Swaziland ,Swaziland,2.9684852436677032,-,Africa,3.7083333333333335,est,,,SWZ
SXM Sint Maarten (Dutch part) ,Sint Maarten (Dutch part),1.9628994497935313,est,Americas,3.4210526315789473,est,,,SXM
SYC Seychelles ,Seychelles,1.9670340451638095,-,Africa,3.7083333333333335,est,,,SYC
SYR Syrian Arab Republic ,Syrian Arab Republic,3.0027294367224551,est,Asia,4.1785714285714288,est,,,SYR
TCA Turks and Caicos Islands ,Turks and Caicos Islands,1.9628994497935313,est,Americas,3.4210526315789473,est,,,TCA
TCD Chad ,Chad,3.2719238069892578,-,Africa,3,,,,TCD
TGO Togo ,Togo,2.8701773324680016,-,Africa,3.7083333333333335,est,,,TGO
THA Thailand ,Thailand,3.0545723851265998,-,Asia,4,,,,THA
TJK Tajikistan ,Tajikistan,4.4544480905092065,-,Asia,4.1785714285714288,est,,,TJK
TKM Turkmenistan ,Turkmenistan,2.6928641663820763,-,Asia,4.1785714285714288,est,,,TKM
TLS Timor-Leste ,Timor-Leste,3.5744298356102879,-,Asia,4.1785714285714288,est,,,TLS
TON Tonga ,Tonga,1.7488285625957432,-,Oceania,3,est,,,TON
TTO Trinidad and Tobago ,Trinidad and Tobago,2.1624826708370994,-,Americas,3.4210526315789473,est,,,TTO
TUN Tunisia ,Tunisia,3.8129934750178731,-,Africa,3.7083333333333335,est,,,TUN
TUR Turkey ,Turkey,2.9874610343826231,-,Asia,5,,,,TUR
TUV Tuvalu ,Tuvalu,1.2579217777236158,-,Oceania,3,est,,,TUV
"TZA Tanzania, United Republic of ",Tanzania,3.5139329251773668,-,Africa,3,,,,TZA
UGA Uganda ,Uganda,3.5283370555202107,-,Africa,3,,,,UGA
UKR Ukraine ,Ukraine,3.6818887522135197,-,Europe,6,,,,UKR
URY Uruguay ,Uruguay,1.4657002230566731,-,Americas,1,,,,URY
USA United States ,United States,1.1294900000000001,-,Americas,4,,,,USA
UZB Uzbekistan ,Uzbekistan,5.110891272086727,-,Asia,4.1785714285714288,est,,,UZB
VCT Saint Vincent and the Grenadines ,St. Vincent and the Grenadines,1.8512874582147087,-,Americas,3.4210526315789473,est,,,VCT
"VEN Venezuela, Bolivarian Republic of ","Venezuela, RB",1.9628994497935313,est,Americas,3,,,,VEN
"VGB Virgin Islands, British ",British Virgin Islands,1.9628994497935313,est,Americas,3.4210526315789473,est,,,VGB
"VIR Virgin Islands, U.S. ",Virgin Islands (U.S.),1.9628994497935313,est,Americas,3.4210526315789473,est,,,VIR
VNM Viet Nam ,Vietnam,3.2788396696440074,-,Asia,4.1785714285714288,est,,,VNM
VUT Vanuatu ,Vanuatu,1.1594436656360083,-,Oceania,3,est,,,VUT
WSM Samoa ,Samoa,0.68766222141936417,-,Oceania,3,est,,,WSM
XKX Kosovo,Kosovo,3.5152535645644845,-,Europe,2,est,,,XKX
YEM Yemen ,"Yemen, Rep.",3.0027294367224551,est,Asia,4.1785714285714288,est,,,YEM
ZAF South Africa ,South Africa,2.4721326531285115,-,Africa,1,,,,ZAF
ZMB Zambia ,Zambia,3.0217667017585748,-,Africa,5,,,,ZMB
ZWE Zimbabwe ,Zimbabwe,3.0325616327831186,est,Africa,5,,,,ZWE
Average Africa,Africa,3.0325616327831186,,,3.7083333333333335,,,,Average Africa
Average Americas,Americas,1.9628994497935313,,,3.4210526315789473,,,,Average Americas
Average Asia,Asia,3.0027294367224551,,,4.1785714285714288,,,,Average Asia
Average Europe,Europe,1.9328616451977572,,,2,,,,Average Europe
Average Oceania,Oceania,1.3563308370936336,,,3,,,,Average Oceania
0,,0.97803586258736475,,,3.2380952380952381,,,,World


















































